,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives
150,Ibirá,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
151,IMCOPA,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
152,Interlagos,488098308.0,0.0,0.0,128916688806.41238,94471978878.75793,270846.0,270846.0,0.0,0.0,0.0,0.0,0.0,0.0,2202000.0,0.0,159600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,182469084.48000002,3000000,0
153,Ipê,325398872.0,0.0,0.0,128916688806.41238,94471978878.75793,180564.0,180564.0,0.0,0.0,0.0,0.0,0.0,0.0,1468000.0,0.0,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,121646056.32,2000000,0
154,Ipiranga,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
155,Ipiranga II - Santo Alexandre,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
156,Ipojuca,167969586.71856663,0.0,0.0,128916688806.41238,94471978878.75793,36112.8,36112.8,0.0,0.0,0.0,0.0,0.0,723925.3719076191,10074.628092380939,89042.82074463714,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,193784132.3608686,1000000,0
157,Iracema,537288537.1913642,10027617.185630845,942908.215910146,128916688806.41238,94471978878.75793,108338.4,14758.985826564574,93579.41417343543,0.0,0.0,0.0,0.0,2171776.1157228565,30223.884277143516,267128.4622339113,159600.0,38367.55981110853,38367.55981110853,0.0,6550.558992140481,10480.894387424769,128916688806.41238,230936425077.6817,481621282.6507832,3000000,0
158,Irmãos Malosso,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
159,Itajobi,335939173.4371332,0.0,0.0,128916688806.41238,94471978878.75793,72225.6,72225.6,0.0,0.0,0.0,0.0,0.0,1447850.743815238,20149.25618476211,178085.64148927425,106400.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,387568264.72173727,2000000,0
160,Itajubara,162699436.0,0.0,0.0,128916688806.41238,94471978878.75793,90282.0,90282.0,0.0,0.0,0.0,0.0,0.0,0.0,734000.0,0.0,53200.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,60823028.16,1000000,0
161,Itamarati,923832726.9521163,0.0,0.0,128916688806.41238,94471978878.75793,198620.4,198620.4,0.0,0.0,0.0,0.0,0.0,3981589.5454919036,55410.454508096445,489735.5140955041,292600.0,0.0,0.0,0.0,0.0,0.0,128916688806.41238,230936425077.6817,1065812727.984777,5500000,0
