,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives,payment
165,Jacarezinho,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
166,Jalles Machado,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
167,Jalles Machado - Otávio Lage,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
168,Jatiboca,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
169,Jayoro,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
170,José Granelli,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
171,Junco Novo,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
172,Lago Azul,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
173,Laguna,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
174,Lasa,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
175,Liberdade,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
176,Londra,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
177,Lopes da Silva,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
178,Luso,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
179,Maity Bioenergia,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
180,Mandacaru,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
181,Marituba,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
182,Melhoramento Ivaí,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
183,Miriri,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
184,Moema,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
185,Monte Alegre - Monte Belo,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
186,Monte Alegre,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
187,Monterey,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
188,Monteverde,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
189,Moreno,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
190,Nardini,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
191,Nova Era,162699436,0,0,1.25E+11,94439190881,90282,62210.12683,0,0,28071.87317,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
192,Nova Gália,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
193,Nova Londrina - Ex Copagra,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
194,Nova Moreno,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
195,Nova Produtiva,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
196,Novo Milênio - Un. Lambari,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
197,Novo Milênio - Un. Mirassol,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
198,Ouroeste,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
199,Pagrisa,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
200,Paineiras,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
201,Panorama,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
202,Paraiso,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
